Section,Keywords,Category,Description,Action Taken,Similar Case (Judgment),section_desc
IPC Section 4,Trafficking,"Jurisdiction, Applicability, Indian Law, Procedure","Extends the provisions of the IPC to offences committed by any citizen of India in any place without and beyond India. It also applies to offences committed on any ship or aircraft registered in India, wherever it may be.","Investigation initiated in India, Accused may be arrested in India or extradited, Trial conducted in Indian court as if the offence was committed within India.","Union of India vs. Ibrahim Uddin and Another (2020) 17 SCC 755: This case discusses the applicability of Indian laws, including the IPC, to offences committed by Indian citizens abroad.","This section explicitly establishes the reach of the Indian Penal Code beyond the territorial boundaries of India. It ensures that Indian citizens remain subject to Indian criminal law even when they commit offences in foreign countries. Furthermore, it establishes flag state jurisdiction over Indian-registered vessels and aircraft, regardless of their location. This provision is crucial for maintaining law and order and holding Indian nationals accountable for their actions globally, as well as ensuring the safety and security of Indian conveyances. It complements Section 3 by specifying *"
IPC Section 4,Fraud,"Jurisdiction, Applicability, Indian Law, Procedure","Extends the provisions of the IPC to offences committed by any citizen of India in any place without and beyond India. It also applies to offences committed on any ship or aircraft registered in India, wherever it may be.","Investigation initiated in India, Accused may be arrested in India or extradited, Trial conducted in Indian court as if the offence was committed within India.","Union of India vs. Ibrahim Uddin and Another (2020) 17 SCC 755: This case discusses the applicability of Indian laws, including the IPC, to offences committed by Indian citizens abroad.","This section explicitly establishes the reach of the Indian Penal Code beyond the territorial boundaries of India. It ensures that Indian citizens remain subject to Indian criminal law even when they commit offences in foreign countries. Furthermore, it establishes flag state jurisdiction over Indian-registered vessels and aircraft, regardless of their location. This provision is crucial for maintaining law and order and holding Indian nationals accountable for their actions globally, as well as ensuring the safety and security of Indian conveyances. It complements Section 3 by specifying *"
IPC Section 4,Hacking,"Jurisdiction, Applicability, Indian Law, Procedure","Extends the provisions of the IPC to offences committed by any citizen of India in any place without and beyond India. It also applies to offences committed on any ship or aircraft registered in India, wherever it may be.","Investigation initiated in India, Accused may be arrested in India or extradited, Trial conducted in Indian court as if the offence was committed within India.","Union of India vs. Ibrahim Uddin and Another (2020) 17 SCC 755: This case discusses the applicability of Indian laws, including the IPC, to offences committed by Indian citizens abroad.","This section explicitly establishes the reach of the Indian Penal Code beyond the territorial boundaries of India. It ensures that Indian citizens remain subject to Indian criminal law even when they commit offences in foreign countries. Furthermore, it establishes flag state jurisdiction over Indian-registered vessels and aircraft, regardless of their location. This provision is crucial for maintaining law and order and holding Indian nationals accountable for their actions globally, as well as ensuring the safety and security of Indian conveyances. It complements Section 3 by specifying *"
IPC Section 4,Corruption,"Jurisdiction, Applicability, Indian Law, Procedure","Extends the provisions of the IPC to offences committed by any citizen of India in any place without and beyond India. It also applies to offences committed on any ship or aircraft registered in India, wherever it may be.","Investigation initiated in India, Accused may be arrested in India or extradited, Trial conducted in Indian court as if the offence was committed within India.","Union of India vs. Ibrahim Uddin and Another (2020) 17 SCC 755: This case discusses the applicability of Indian laws, including the IPC, to offences committed by Indian citizens abroad.","This section explicitly establishes the reach of the Indian Penal Code beyond the territorial boundaries of India. It ensures that Indian citizens remain subject to Indian criminal law even when they commit offences in foreign countries. Furthermore, it establishes flag state jurisdiction over Indian-registered vessels and aircraft, regardless of their location. This provision is crucial for maintaining law and order and holding Indian nationals accountable for their actions globally, as well as ensuring the safety and security of Indian conveyances. It complements Section 3 by specifying *"
IPC Section 4,Espionage,"Jurisdiction, Applicability, Indian Law, Procedure","Extends the provisions of the IPC to offences committed by any citizen of India in any place without and beyond India. It also applies to offences committed on any ship or aircraft registered in India, wherever it may be.","Investigation initiated in India, Accused may be arrested in India or extradited, Trial conducted in Indian court as if the offence was committed within India.","Union of India vs. Ibrahim Uddin and Another (2020) 17 SCC 755: This case discusses the applicability of Indian laws, including the IPC, to offences committed by Indian citizens abroad.","This section explicitly establishes the reach of the Indian Penal Code beyond the territorial boundaries of India. It ensures that Indian citizens remain subject to Indian criminal law even when they commit offences in foreign countries. Furthermore, it establishes flag state jurisdiction over Indian-registered vessels and aircraft, regardless of their location. This provision is crucial for maintaining law and order and holding Indian nationals accountable for their actions globally, as well as ensuring the safety and security of Indian conveyances. It complements Section 3 by specifying *"
IPC Section 4,Defamation,"Jurisdiction, Applicability, Indian Law, Procedure","Extends the provisions of the IPC to offences committed by any citizen of India in any place without and beyond India. It also applies to offences committed on any ship or aircraft registered in India, wherever it may be.","Investigation initiated in India, Accused may be arrested in India or extradited, Trial conducted in Indian court as if the offence was committed within India.","Union of India vs. Ibrahim Uddin and Another (2020) 17 SCC 755: This case discusses the applicability of Indian laws, including the IPC, to offences committed by Indian citizens abroad.","This section explicitly establishes the reach of the Indian Penal Code beyond the territorial boundaries of India. It ensures that Indian citizens remain subject to Indian criminal law even when they commit offences in foreign countries. Furthermore, it establishes flag state jurisdiction over Indian-registered vessels and aircraft, regardless of their location. This provision is crucial for maintaining law and order and holding Indian nationals accountable for their actions globally, as well as ensuring the safety and security of Indian conveyances. It complements Section 3 by specifying *"
IPC Section 4,Cryptocurrency,"Jurisdiction, Applicability, Indian Law, Procedure","Extends the provisions of the IPC to offences committed by any citizen of India in any place without and beyond India. It also applies to offences committed on any ship or aircraft registered in India, wherever it may be.","Investigation initiated in India, Accused may be arrested in India or extradited, Trial conducted in Indian court as if the offence was committed within India.","Union of India vs. Ibrahim Uddin and Another (2020) 17 SCC 755: This case discusses the applicability of Indian laws, including the IPC, to offences committed by Indian citizens abroad.","This section explicitly establishes the reach of the Indian Penal Code beyond the territorial boundaries of India. It ensures that Indian citizens remain subject to Indian criminal law even when they commit offences in foreign countries. Furthermore, it establishes flag state jurisdiction over Indian-registered vessels and aircraft, regardless of their location. This provision is crucial for maintaining law and order and holding Indian nationals accountable for their actions globally, as well as ensuring the safety and security of Indian conveyances. It complements Section 3 by specifying *"
IPC Section 4,Arms Trade,"Jurisdiction, Applicability, Indian Law, Procedure","Extends the provisions of the IPC to offences committed by any citizen of India in any place without and beyond India. It also applies to offences committed on any ship or aircraft registered in India, wherever it may be.","Investigation initiated in India, Accused may be arrested in India or extradited, Trial conducted in Indian court as if the offence was committed within India.","Union of India vs. Ibrahim Uddin and Another (2020) 17 SCC 755: This case discusses the applicability of Indian laws, including the IPC, to offences committed by Indian citizens abroad.","This section explicitly establishes the reach of the Indian Penal Code beyond the territorial boundaries of India. It ensures that Indian citizens remain subject to Indian criminal law even when they commit offences in foreign countries. Furthermore, it establishes flag state jurisdiction over Indian-registered vessels and aircraft, regardless of their location. This provision is crucial for maintaining law and order and holding Indian nationals accountable for their actions globally, as well as ensuring the safety and security of Indian conveyances. It complements Section 3 by specifying *"
IPC Section 4,Fake Passport,"Jurisdiction, Applicability, Indian Law, Procedure","Extends the provisions of the IPC to offences committed by any citizen of India in any place without and beyond India. It also applies to offences committed on any ship or aircraft registered in India, wherever it may be.","Investigation initiated in India, Accused may be arrested in India or extradited, Trial conducted in Indian court as if the offence was committed within India.","Union of India vs. Ibrahim Uddin and Another (2020) 17 SCC 755: This case discusses the applicability of Indian laws, including the IPC, to offences committed by Indian citizens abroad.","This section explicitly establishes the reach of the Indian Penal Code beyond the territorial boundaries of India. It ensures that Indian citizens remain subject to Indian criminal law even when they commit offences in foreign countries. Furthermore, it establishes flag state jurisdiction over Indian-registered vessels and aircraft, regardless of their location. This provision is crucial for maintaining law and order and holding Indian nationals accountable for their actions globally, as well as ensuring the safety and security of Indian conveyances. It complements Section 3 by specifying *"
IPC Section 4,Child Abuse,"Jurisdiction, Applicability, Indian Law, Procedure","Extends the provisions of the IPC to offences committed by any citizen of India in any place without and beyond India. It also applies to offences committed on any ship or aircraft registered in India, wherever it may be.","Investigation initiated in India, Accused may be arrested in India or extradited, Trial conducted in Indian court as if the offence was committed within India.","Union of India vs. Ibrahim Uddin and Another (2020) 17 SCC 755: This case discusses the applicability of Indian laws, including the IPC, to offences committed by Indian citizens abroad.","This section explicitly establishes the reach of the Indian Penal Code beyond the territorial boundaries of India. It ensures that Indian citizens remain subject to Indian criminal law even when they commit offences in foreign countries. Furthermore, it establishes flag state jurisdiction over Indian-registered vessels and aircraft, regardless of their location. This provision is crucial for maintaining law and order and holding Indian nationals accountable for their actions globally, as well as ensuring the safety and security of Indian conveyances. It complements Section 3 by specifying *"
IPC Section 4,Religious Hate,"Jurisdiction, Applicability, Indian Law, Procedure","Extends the provisions of the IPC to offences committed by any citizen of India in any place without and beyond India. It also applies to offences committed on any ship or aircraft registered in India, wherever it may be.","Investigation initiated in India, Accused may be arrested in India or extradited, Trial conducted in Indian court as if the offence was committed within India.","Union of India vs. Ibrahim Uddin and Another (2020) 17 SCC 755: This case discusses the applicability of Indian laws, including the IPC, to offences committed by Indian citizens abroad.","This section explicitly establishes the reach of the Indian Penal Code beyond the territorial boundaries of India. It ensures that Indian citizens remain subject to Indian criminal law even when they commit offences in foreign countries. Furthermore, it establishes flag state jurisdiction over Indian-registered vessels and aircraft, regardless of their location. This provision is crucial for maintaining law and order and holding Indian nationals accountable for their actions globally, as well as ensuring the safety and security of Indian conveyances. It complements Section 3 by specifying *"
IPC Section 4,Drug Trafficking,"Jurisdiction, Applicability, Indian Law, Procedure","Extends the provisions of the IPC to offences committed by any citizen of India in any place without and beyond India. It also applies to offences committed on any ship or aircraft registered in India, wherever it may be.","Investigation initiated in India, Accused may be arrested in India or extradited, Trial conducted in Indian court as if the offence was committed within India.","Union of India vs. Ibrahim Uddin and Another (2020) 17 SCC 755: This case discusses the applicability of Indian laws, including the IPC, to offences committed by Indian citizens abroad.","This section explicitly establishes the reach of the Indian Penal Code beyond the territorial boundaries of India. It ensures that Indian citizens remain subject to Indian criminal law even when they commit offences in foreign countries. Furthermore, it establishes flag state jurisdiction over Indian-registered vessels and aircraft, regardless of their location. This provision is crucial for maintaining law and order and holding Indian nationals accountable for their actions globally, as well as ensuring the safety and security of Indian conveyances. It complements Section 3 by specifying *"
IPC Section 4,Tax Evasion,"Jurisdiction, Applicability, Indian Law, Procedure","Extends the provisions of the IPC to offences committed by any citizen of India in any place without and beyond India. It also applies to offences committed on any ship or aircraft registered in India, wherever it may be.","Investigation initiated in India, Accused may be arrested in India or extradited, Trial conducted in Indian court as if the offence was committed within India.","Union of India vs. Ibrahim Uddin and Another (2020) 17 SCC 755: This case discusses the applicability of Indian laws, including the IPC, to offences committed by Indian citizens abroad.","This section explicitly establishes the reach of the Indian Penal Code beyond the territorial boundaries of India. It ensures that Indian citizens remain subject to Indian criminal law even when they commit offences in foreign countries. Furthermore, it establishes flag state jurisdiction over Indian-registered vessels and aircraft, regardless of their location. This provision is crucial for maintaining law and order and holding Indian nationals accountable for their actions globally, as well as ensuring the safety and security of Indian conveyances. It complements Section 3 by specifying *"
IPC Section 4,Maritime Crime,"Jurisdiction, Applicability, Indian Law, Procedure","Extends the provisions of the IPC to offences committed by any citizen of India in any place without and beyond India. It also applies to offences committed on any ship or aircraft registered in India, wherever it may be.","Investigation initiated in India, Accused may be arrested in India or extradited, Trial conducted in Indian court as if the offence was committed within India.","Union of India vs. Ibrahim Uddin and Another (2020) 17 SCC 755: This case discusses the applicability of Indian laws, including the IPC, to offences committed by Indian citizens abroad.","This section explicitly establishes the reach of the Indian Penal Code beyond the territorial boundaries of India. It ensures that Indian citizens remain subject to Indian criminal law even when they commit offences in foreign countries. Furthermore, it establishes flag state jurisdiction over Indian-registered vessels and aircraft, regardless of their location. This provision is crucial for maintaining law and order and holding Indian nationals accountable for their actions globally, as well as ensuring the safety and security of Indian conveyances. It complements Section 3 by specifying *"
IPC Section 5,Constitutional Exceptions,"Interpretation, Savings Clause, Legislation","This section clarifies that the IPC does not affect the provisions of any Act for punishing mutiny and desertion of officers, soldiers, sailors or airmen in the service of the Government of India or the provisions 1 of any special or local 2 law. It acts as a savings clause, preserving the operation of these specific laws.","No direct ""action taken"" under this section as it's a declaratory provision. Its effect is seen in the continued application of the specified laws.","G.P. Nayyar vs. State (Delhi Administration) [1979] 3 SCR 637: While not directly interpreting Section 5, this case highlights the principle that special laws prevail over general laws like the IPC in specific areas.","This section serves as an important principle of statutory interpretation, ensuring that the general provisions of the Indian Penal Code do not override or repeal specific laws enacted for particular purposes. It carves out exceptions for laws dealing with the armed forces (mutiny and desertion) and other special or local enactments. This prevents unintended conflicts between different pieces of legislation and ensures that specialized legal frameworks remain in force for the areas they are designed to govern. It underscores the legislative intent to maintain the integrity and effectiveness of these specific laws alongside the general criminal law codified in the IPC."
IPC Section 5,Military Law,"Interpretation, Savings Clause, Legislation","This section clarifies that the IPC does not affect the provisions of any Act for punishing mutiny and desertion of officers, soldiers, sailors or airmen in the service of the Government of India or the provisions 1 of any special or local 2 law. It acts as a savings clause, preserving the operation of these specific laws.","No direct ""action taken"" under this section as it's a declaratory provision. Its effect is seen in the continued application of the specified laws.","G.P. Nayyar vs. State (Delhi Administration) [1979] 3 SCR 637: While not directly interpreting Section 5, this case highlights the principle that special laws prevail over general laws like the IPC in specific areas.","This section serves as an important principle of statutory interpretation, ensuring that the general provisions of the Indian Penal Code do not override or repeal specific laws enacted for particular purposes. It carves out exceptions for laws dealing with the armed forces (mutiny and desertion) and other special or local enactments. This prevents unintended conflicts between different pieces of legislation and ensures that specialized legal frameworks remain in force for the areas they are designed to govern. It underscores the legislative intent to maintain the integrity and effectiveness of these specific laws alongside the general criminal law codified in the IPC."
IPC Section 5,Court-Martial,"Interpretation, Savings Clause, Legislation","This section clarifies that the IPC does not affect the provisions of any Act for punishing mutiny and desertion of officers, soldiers, sailors or airmen in the service of the Government of India or the provisions 1 of any special or local 2 law. It acts as a savings clause, preserving the operation of these specific laws.","No direct ""action taken"" under this section as it's a declaratory provision. Its effect is seen in the continued application of the specified laws.","G.P. Nayyar vs. State (Delhi Administration) [1979] 3 SCR 637: While not directly interpreting Section 5, this case highlights the principle that special laws prevail over general laws like the IPC in specific areas.","This section serves as an important principle of statutory interpretation, ensuring that the general provisions of the Indian Penal Code do not override or repeal specific laws enacted for particular purposes. It carves out exceptions for laws dealing with the armed forces (mutiny and desertion) and other special or local enactments. This prevents unintended conflicts between different pieces of legislation and ensures that specialized legal frameworks remain in force for the areas they are designed to govern. It underscores the legislative intent to maintain the integrity and effectiveness of these specific laws alongside the general criminal law codified in the IPC."
IPC Section 5,Armed Forces,"Interpretation, Savings Clause, Legislation","This section clarifies that the IPC does not affect the provisions of any Act for punishing mutiny and desertion of officers, soldiers, sailors or airmen in the service of the Government of India or the provisions 1 of any special or local 2 law. It acts as a savings clause, preserving the operation of these specific laws.","No direct ""action taken"" under this section as it's a declaratory provision. Its effect is seen in the continued application of the specified laws.","G.P. Nayyar vs. State (Delhi Administration) [1979] 3 SCR 637: While not directly interpreting Section 5, this case highlights the principle that special laws prevail over general laws like the IPC in specific areas.","This section serves as an important principle of statutory interpretation, ensuring that the general provisions of the Indian Penal Code do not override or repeal specific laws enacted for particular purposes. It carves out exceptions for laws dealing with the armed forces (mutiny and desertion) and other special or local enactments. This prevents unintended conflicts between different pieces of legislation and ensures that specialized legal frameworks remain in force for the areas they are designed to govern. It underscores the legislative intent to maintain the integrity and effectiveness of these specific laws alongside the general criminal law codified in the IPC."
IPC Section 5,Special Jurisdiction,"Interpretation, Savings Clause, Legislation","This section clarifies that the IPC does not affect the provisions of any Act for punishing mutiny and desertion of officers, soldiers, sailors or airmen in the service of the Government of India or the provisions 1 of any special or local 2 law. It acts as a savings clause, preserving the operation of these specific laws.","No direct ""action taken"" under this section as it's a declaratory provision. Its effect is seen in the continued application of the specified laws.","G.P. Nayyar vs. State (Delhi Administration) [1979] 3 SCR 637: While not directly interpreting Section 5, this case highlights the principle that special laws prevail over general laws like the IPC in specific areas.","This section serves as an important principle of statutory interpretation, ensuring that the general provisions of the Indian Penal Code do not override or repeal specific laws enacted for particular purposes. It carves out exceptions for laws dealing with the armed forces (mutiny and desertion) and other special or local enactments. This prevents unintended conflicts between different pieces of legislation and ensures that specialized legal frameworks remain in force for the areas they are designed to govern. It underscores the legislative intent to maintain the integrity and effectiveness of these specific laws alongside the general criminal law codified in the IPC."
IPC Section 5,War Crimes,"Interpretation, Savings Clause, Legislation","This section clarifies that the IPC does not affect the provisions of any Act for punishing mutiny and desertion of officers, soldiers, sailors or airmen in the service of the Government of India or the provisions 1 of any special or local 2 law. It acts as a savings clause, preserving the operation of these specific laws.","No direct ""action taken"" under this section as it's a declaratory provision. Its effect is seen in the continued application of the specified laws.","G.P. Nayyar vs. State (Delhi Administration) [1979] 3 SCR 637: While not directly interpreting Section 5, this case highlights the principle that special laws prevail over general laws like the IPC in specific areas.","This section serves as an important principle of statutory interpretation, ensuring that the general provisions of the Indian Penal Code do not override or repeal specific laws enacted for particular purposes. It carves out exceptions for laws dealing with the armed forces (mutiny and desertion) and other special or local enactments. This prevents unintended conflicts between different pieces of legislation and ensures that specialized legal frameworks remain in force for the areas they are designed to govern. It underscores the legislative intent to maintain the integrity and effectiveness of these specific laws alongside the general criminal law codified in the IPC."
IPC Section 5,Defense Personnel,"Interpretation, Savings Clause, Legislation","This section clarifies that the IPC does not affect the provisions of any Act for punishing mutiny and desertion of officers, soldiers, sailors or airmen in the service of the Government of India or the provisions 1 of any special or local 2 law. It acts as a savings clause, preserving the operation of these specific laws.","No direct ""action taken"" under this section as it's a declaratory provision. Its effect is seen in the continued application of the specified laws.","G.P. Nayyar vs. State (Delhi Administration) [1979] 3 SCR 637: While not directly interpreting Section 5, this case highlights the principle that special laws prevail over general laws like the IPC in specific areas.","This section serves as an important principle of statutory interpretation, ensuring that the general provisions of the Indian Penal Code do not override or repeal specific laws enacted for particular purposes. It carves out exceptions for laws dealing with the armed forces (mutiny and desertion) and other special or local enactments. This prevents unintended conflicts between different pieces of legislation and ensures that specialized legal frameworks remain in force for the areas they are designed to govern. It underscores the legislative intent to maintain the integrity and effectiveness of these specific laws alongside the general criminal law codified in the IPC."
IPC Section 5,National Security,"Interpretation, Savings Clause, Legislation","This section clarifies that the IPC does not affect the provisions of any Act for punishing mutiny and desertion of officers, soldiers, sailors or airmen in the service of the Government of India or the provisions 1 of any special or local 2 law. It acts as a savings clause, preserving the operation of these specific laws.","No direct ""action taken"" under this section as it's a declaratory provision. Its effect is seen in the continued application of the specified laws.","G.P. Nayyar vs. State (Delhi Administration) [1979] 3 SCR 637: While not directly interpreting Section 5, this case highlights the principle that special laws prevail over general laws like the IPC in specific areas.","This section serves as an important principle of statutory interpretation, ensuring that the general provisions of the Indian Penal Code do not override or repeal specific laws enacted for particular purposes. It carves out exceptions for laws dealing with the armed forces (mutiny and desertion) and other special or local enactments. This prevents unintended conflicts between different pieces of legislation and ensures that specialized legal frameworks remain in force for the areas they are designed to govern. It underscores the legislative intent to maintain the integrity and effectiveness of these specific laws alongside the general criminal law codified in the IPC."
IPC Section 5,Military Discipline,"Interpretation, Savings Clause, Legislation","This section clarifies that the IPC does not affect the provisions of any Act for punishing mutiny and desertion of officers, soldiers, sailors or airmen in the service of the Government of India or the provisions 1 of any special or local 2 law. It acts as a savings clause, preserving the operation of these specific laws.","No direct ""action taken"" under this section as it's a declaratory provision. Its effect is seen in the continued application of the specified laws.","G.P. Nayyar vs. State (Delhi Administration) [1979] 3 SCR 637: While not directly interpreting Section 5, this case highlights the principle that special laws prevail over general laws like the IPC in specific areas.","This section serves as an important principle of statutory interpretation, ensuring that the general provisions of the Indian Penal Code do not override or repeal specific laws enacted for particular purposes. It carves out exceptions for laws dealing with the armed forces (mutiny and desertion) and other special or local enactments. This prevents unintended conflicts between different pieces of legislation and ensures that specialized legal frameworks remain in force for the areas they are designed to govern. It underscores the legislative intent to maintain the integrity and effectiveness of these specific laws alongside the general criminal law codified in the IPC."
IPC Section 5,Martial Law,"Interpretation, Savings Clause, Legislation","This section clarifies that the IPC does not affect the provisions of any Act for punishing mutiny and desertion of officers, soldiers, sailors or airmen in the service of the Government of India or the provisions 1 of any special or local 2 law. It acts as a savings clause, preserving the operation of these specific laws.","No direct ""action taken"" under this section as it's a declaratory provision. Its effect is seen in the continued application of the specified laws.","G.P. Nayyar vs. State (Delhi Administration) [1979] 3 SCR 637: While not directly interpreting Section 5, this case highlights the principle that special laws prevail over general laws like the IPC in specific areas.","This section serves as an important principle of statutory interpretation, ensuring that the general provisions of the Indian Penal Code do not override or repeal specific laws enacted for particular purposes. It carves out exceptions for laws dealing with the armed forces (mutiny and desertion) and other special or local enactments. This prevents unintended conflicts between different pieces of legislation and ensures that specialized legal frameworks remain in force for the areas they are designed to govern. It underscores the legislative intent to maintain the integrity and effectiveness of these specific laws alongside the general criminal law codified in the IPC."
IPC Section 5,Service Law,"Interpretation, Savings Clause, Legislation","This section clarifies that the IPC does not affect the provisions of any Act for punishing mutiny and desertion of officers, soldiers, sailors or airmen in the service of the Government of India or the provisions 1 of any special or local 2 law. It acts as a savings clause, preserving the operation of these specific laws.","No direct ""action taken"" under this section as it's a declaratory provision. Its effect is seen in the continued application of the specified laws.","G.P. Nayyar vs. State (Delhi Administration) [1979] 3 SCR 637: While not directly interpreting Section 5, this case highlights the principle that special laws prevail over general laws like the IPC in specific areas.","This section serves as an important principle of statutory interpretation, ensuring that the general provisions of the Indian Penal Code do not override or repeal specific laws enacted for particular purposes. It carves out exceptions for laws dealing with the armed forces (mutiny and desertion) and other special or local enactments. This prevents unintended conflicts between different pieces of legislation and ensures that specialized legal frameworks remain in force for the areas they are designed to govern. It underscores the legislative intent to maintain the integrity and effectiveness of these specific laws alongside the general criminal law codified in the IPC."
IPC Section 5,Defense Offenses,"Interpretation, Savings Clause, Legislation","This section clarifies that the IPC does not affect the provisions of any Act for punishing mutiny and desertion of officers, soldiers, sailors or airmen in the service of the Government of India or the provisions 1 of any special or local 2 law. It acts as a savings clause, preserving the operation of these specific laws.","No direct ""action taken"" under this section as it's a declaratory provision. Its effect is seen in the continued application of the specified laws.","G.P. Nayyar vs. State (Delhi Administration) [1979] 3 SCR 637: While not directly interpreting Section 5, this case highlights the principle that special laws prevail over general laws like the IPC in specific areas.","This section serves as an important principle of statutory interpretation, ensuring that the general provisions of the Indian Penal Code do not override or repeal specific laws enacted for particular purposes. It carves out exceptions for laws dealing with the armed forces (mutiny and desertion) and other special or local enactments. This prevents unintended conflicts between different pieces of legislation and ensures that specialized legal frameworks remain in force for the areas they are designed to govern. It underscores the legislative intent to maintain the integrity and effectiveness of these specific laws alongside the general criminal law codified in the IPC."
IPC Section 5,Military Conduct,"Interpretation, Savings Clause, Legislation","This section clarifies that the IPC does not affect the provisions of any Act for punishing mutiny and desertion of officers, soldiers, sailors or airmen in the service of the Government of India or the provisions 1 of any special or local 2 law. It acts as a savings clause, preserving the operation of these specific laws.","No direct ""action taken"" under this section as it's a declaratory provision. Its effect is seen in the continued application of the specified laws.","G.P. Nayyar vs. State (Delhi Administration) [1979] 3 SCR 637: While not directly interpreting Section 5, this case highlights the principle that special laws prevail over general laws like the IPC in specific areas.","This section serves as an important principle of statutory interpretation, ensuring that the general provisions of the Indian Penal Code do not override or repeal specific laws enacted for particular purposes. It carves out exceptions for laws dealing with the armed forces (mutiny and desertion) and other special or local enactments. This prevents unintended conflicts between different pieces of legislation and ensures that specialized legal frameworks remain in force for the areas they are designed to govern. It underscores the legislative intent to maintain the integrity and effectiveness of these specific laws alongside the general criminal law codified in the IPC."
IPC Section 5,Civilian Exemption,"Interpretation, Savings Clause, Legislation","This section clarifies that the IPC does not affect the provisions of any Act for punishing mutiny and desertion of officers, soldiers, sailors or airmen in the service of the Government of India or the provisions 1 of any special or local 2 law. It acts as a savings clause, preserving the operation of these specific laws.","No direct ""action taken"" under this section as it's a declaratory provision. Its effect is seen in the continued application of the specified laws.","G.P. Nayyar vs. State (Delhi Administration) [1979] 3 SCR 637: While not directly interpreting Section 5, this case highlights the principle that special laws prevail over general laws like the IPC in specific areas.","This section serves as an important principle of statutory interpretation, ensuring that the general provisions of the Indian Penal Code do not override or repeal specific laws enacted for particular purposes. It carves out exceptions for laws dealing with the armed forces (mutiny and desertion) and other special or local enactments. This prevents unintended conflicts between different pieces of legislation and ensures that specialized legal frameworks remain in force for the areas they are designed to govern. It underscores the legislative intent to maintain the integrity and effectiveness of these specific laws alongside the general criminal law codified in the IPC."
IPC Section 5,Army Act,"Interpretation, Savings Clause, Legislation","This section clarifies that the IPC does not affect the provisions of any Act for punishing mutiny and desertion of officers, soldiers, sailors or airmen in the service of the Government of India or the provisions 1 of any special or local 2 law. It acts as a savings clause, preserving the operation of these specific laws.","No direct ""action taken"" under this section as it's a declaratory provision. Its effect is seen in the continued application of the specified laws.","G.P. Nayyar vs. State (Delhi Administration) [1979] 3 SCR 637: While not directly interpreting Section 5, this case highlights the principle that special laws prevail over general laws like the IPC in specific areas.","This section serves as an important principle of statutory interpretation, ensuring that the general provisions of the Indian Penal Code do not override or repeal specific laws enacted for particular purposes. It carves out exceptions for laws dealing with the armed forces (mutiny and desertion) and other special or local enactments. This prevents unintended conflicts between different pieces of legislation and ensures that specialized legal frameworks remain in force for the areas they are designed to govern. It underscores the legislative intent to maintain the integrity and effectiveness of these specific laws alongside the general criminal law codified in the IPC."
IPC Section 5,Navy Act,"Interpretation, Savings Clause, Legislation","This section clarifies that the IPC does not affect the provisions of any Act for punishing mutiny and desertion of officers, soldiers, sailors or airmen in the service of the Government of India or the provisions 1 of any special or local 2 law. It acts as a savings clause, preserving the operation of these specific laws.","No direct ""action taken"" under this section as it's a declaratory provision. Its effect is seen in the continued application of the specified laws.","G.P. Nayyar vs. State (Delhi Administration) [1979] 3 SCR 637: While not directly interpreting Section 5, this case highlights the principle that special laws prevail over general laws like the IPC in specific areas.","This section serves as an important principle of statutory interpretation, ensuring that the general provisions of the Indian Penal Code do not override or repeal specific laws enacted for particular purposes. It carves out exceptions for laws dealing with the armed forces (mutiny and desertion) and other special or local enactments. This prevents unintended conflicts between different pieces of legislation and ensures that specialized legal frameworks remain in force for the areas they are designed to govern. It underscores the legislative intent to maintain the integrity and effectiveness of these specific laws alongside the general criminal law codified in the IPC."
IPC Section 5,Air Force Act,"Interpretation, Savings Clause, Legislation","This section clarifies that the IPC does not affect the provisions of any Act for punishing mutiny and desertion of officers, soldiers, sailors or airmen in the service of the Government of India or the provisions 1 of any special or local 2 law. It acts as a savings clause, preserving the operation of these specific laws.","No direct ""action taken"" under this section as it's a declaratory provision. Its effect is seen in the continued application of the specified laws.","G.P. Nayyar vs. State (Delhi Administration) [1979] 3 SCR 637: While not directly interpreting Section 5, this case highlights the principle that special laws prevail over general laws like the IPC in specific areas.","This section serves as an important principle of statutory interpretation, ensuring that the general provisions of the Indian Penal Code do not override or repeal specific laws enacted for particular purposes. It carves out exceptions for laws dealing with the armed forces (mutiny and desertion) and other special or local enactments. This prevents unintended conflicts between different pieces of legislation and ensures that specialized legal frameworks remain in force for the areas they are designed to govern. It underscores the legislative intent to maintain the integrity and effectiveness of these specific laws alongside the general criminal law codified in the IPC."
IPC Section 5,Internal Security,"Interpretation, Savings Clause, Legislation","This section clarifies that the IPC does not affect the provisions of any Act for punishing mutiny and desertion of officers, soldiers, sailors or airmen in the service of the Government of India or the provisions 1 of any special or local 2 law. It acts as a savings clause, preserving the operation of these specific laws.","No direct ""action taken"" under this section as it's a declaratory provision. Its effect is seen in the continued application of the specified laws.","G.P. Nayyar vs. State (Delhi Administration) [1979] 3 SCR 637: While not directly interpreting Section 5, this case highlights the principle that special laws prevail over general laws like the IPC in specific areas.","This section serves as an important principle of statutory interpretation, ensuring that the general provisions of the Indian Penal Code do not override or repeal specific laws enacted for particular purposes. It carves out exceptions for laws dealing with the armed forces (mutiny and desertion) and other special or local enactments. This prevents unintended conflicts between different pieces of legislation and ensures that specialized legal frameworks remain in force for the areas they are designed to govern. It underscores the legislative intent to maintain the integrity and effectiveness of these specific laws alongside the general criminal law codified in the IPC."
